Provinsi;Kabupaten/kota;Longitude;Latitude;Kemiskinan;PDRB;Pendidikan;AMH;Pengeluaran Perkapita;Ruta Penerima Raskin;Penduduk 15-64;HLS;Rata-Rata Lama Sekolah
DKI Jakarta;Kepulauan Seribu;106.5072;-5.7985;11.9800;338.8000;5.2900;100.0000;68.8000;55.3400;86.2882;12.4800;8.4600
;Kota Jakarta Selatan;106.8079;-6.2627;2.8300;261.5800;7.9600;100.0000;46.6300;0.0000;86.8031;13.3100;11.5700
;Kota Jakarta Timur;106.8995;-6.2249;3.1400;155.5300;2.9100;100.0000;50.3900;0.0000;86.9343;13.4300;11.6400
;Kota Jakarta Pusat;106.8279;-6.1801;3.5900;692.2400;3.6200;100.0000;50.8700;0.0000;86.2032;13.2300;11.2400
;Kota Jakarta Barat;106.7633;-6.1675;3.3900;168.6800;25.0200;100.0000;53.2900;0.0000;87.4070;12.7800;10.3800
;Kota Jakarta Utara;106.8926;-6.1555;5.3500;271.8500;18.5900;98.9800;51.1200;0.0000;87.3943;12.6100;10.6900
Jawa Barat;Bogor;106.6291;-6.5518;7.1400;37.5987;25.2000;99.2900;58.5700;70.3600;67.0200;12.4400;7.8800
;Sukabumi;106.9536;-6.8649;6.7600;25.0406;25.7800;100.0000;65.6500;68.4600;65.7200;12.2000;6.8000
;Cianjur;107.1957;-7.3580;9.8100;18.9925;33.3400;100.0000;64.0300;78.7600;65.7200;11.9000;6.9300
;Bandung;107.6215;-7.1341;6.6500;30.4741;7.7700;99.5100;57.8300;74.0100;66.8400;12.6400;8.5800
;Garut;107.7636;-7.5012;9.2700;20.3486;21.6400;99.4900;66.9000;83.4100;63.3700;11.8000;7.5000
;Tasikmalaya;108.1429;-7.6513;9.8500;19.3972;16.0100;98.9200;66.2800;70.1500;65.5500;12.4800;7.1300
;Ciamis;108.3493;-7.3321;7.2200;24.5102;25.8900;100.0000;60.5700;73.5300;66.9500;13.6700;7.6000
;Kuningan;108.5701;-7.0138;12.2200;21.1926;22.8700;99.4500;63.9700;76.0800;66.2900;12.0700;7.3600
;Cirebon;108.4751;-6.6899;10.7000;20.8904;32.8400;99.4300;63.0700;93.4800;67.9400;12.2200;6.6200
;Majalengka;108.2852;-6.7791;10.7900;23.3900;31.2900;98.3100;62.8900;78.1100;67.4800;12.1900;6.9100
;Sumedang;107.9532;-6.8329;9.7600;28.2974;10.8900;100.0000;59.0800;79.2800;67.6300;12.9400;8.1700
;Indramayu;108.3258;-6.3373;11.8900;43.5790;42.5400;98.0800;64.6300;53.9500;69.0300;12.2200;5.9800
;Subang;107.7636;-6.3488;8.6700;23.7760;23.5900;100.0000;61.2800;68.4700;68.3000;11.6800;6.8400
;Purwakarta;107.4322;-6.5649;7.9900;66.1547;36.4000;99.3000;58.6100;62.6200;67.0700;12.0900;7.7500
;Karawang;107.3376;-6.3227;8.0600;92.8122;43.2700;98.0000;61.0200;88.3500;69.0800;12.0700;7.3500
;Bekasi;107.1485;-6.2474;4.3700;84.1685;23.7400;99.7100;54.5700;60.9400;69.8700;13.0500;8.8400
;Bandung Barat;107.4920;-6.8652;10.0600;26.0185;17.8700;100.0000;59.8100;63.4200;65.9500;11.8300;7.9700
;Pangandaran;108.4988;-7.6151;8.1200;26.0986;26.9833;97.8633;61.2433;72.3533;66.1500;12.8767;7.2167
;Kota Bogor;106.8060;-6.5971;5.9300;38.4982;18.9000;98.3400;53.7300;4.7600;70.3500;13.3800;10.3000
;Kota Sukabumi;106.9300;-6.9277;7.1200;35.1582;3.6400;100.0000;60.4900;4.7100;68.0800;13.4000;9.5300
;Kota Bandung;107.6191;-6.9175;3.5700;105.6640;20.4300;98.0200;47.7400;0.0000;72.2200;14.1800;10.6300
;Kota Cirebon;108.5523;-6.7320;8.8800;68.4028;16.4900;100.0000;56.8600;0.0000;70.0500;13.0900;9.8900
;Kota Bekasi;106.9756;-6.2383;4.1100;31.0326;15.0100;100.0000;48.5500;4.0500;72.9900;13.7600;11.0900
;Kota Depok;106.7942;-6.4025;2.1400;27.6198;4.2700;100.0000;47.0000;5.3900;71.3600;13.9000;10.8500
;Kota Cimahi;107.5413;-6.8841;4.9400;48.1071;7.2600;100.0000;54.3200;0.0000;71.2200;13.7700;10.9400
;Kota Tasikmalaya;108.2172;-7.3506;12.7100;30.1430;9.0900;100.0000;62.6400;0.0000;67.6300;13.4200;9.0400
;Kota Banjar;108.5342;-7.3707;5.7000;22.4143;20.0700;100.0000;64.7900;12.6400;67.4800;13.2000;8.6000
Jawa Tengah;Cilacap;108.9027;-7.6178;11.2500;64.5100;39.0500;94.6700;56.8800;73.3800;65.9500;12.4800;6.9200
;Banyumas;109.1404;-7.4832;13.5000;29.7100;31.1700;99.1200;56.2200;72.4100;66.7600;12.6400;7.4100
;Purbalingga;109.4259;-7.3059;15.6200;25.0700;31.9200;99.5200;57.5100;79.5100;65.7300;11.9500;7.0000
;Banjarnegara;109.6163;-7.3794;15.4600;21.8700;37.9100;97.3100;58.1100;63.9500;66.9100;11.4200;6.2800
;Kebumen;109.6525;-7.6681;17.4700;21.7600;23.3900;99.2600;59.0100;75.6000;64.1300;12.9100;7.3400
;Purworejo;109.9989;-7.6965;11.6700;24.2200;23.7700;98.0600;56.5300;68.1000;64.8300;13.4800;7.7000
;Wonosobo;109.9002;-7.3632;17.5800;22.1600;31.5400;96.7300;57.1200;73.2300;66.0900;11.6900;6.7500
;Magelang;110.2832;-7.4305;11.2300;23.7000;26.1900;96.7800;56.1600;79.8700;67.2700;12.4800;7.5700
;Boyolali;110.6884;-7.4318;10.0400;30.8400;30.8600;98.4300;52.0100;69.7300;66.1600;12.1600;7.5500
;Klaten;110.6646;-7.6579;12.9600;31.6300;26.9400;94.1900;58.4400;84.8200;67.2600;13.1300;8.2400
;Sukoharjo;110.8553;-7.6484;7.4100;38.6400;29.5600;98.0100;54.8900;38.2800;69.2700;13.8100;8.8400
;Wonogiri;111.0460;-7.8846;10.7500;28.4500;35.5600;95.5000;57.5400;65.9000;66.0100;12.4500;6.8800
;Karanganyar;111.0460;-7.6387;10.0100;39.0000;24.3300;97.7600;54.7900;70.0400;68.1000;13.6600;8.5100
;Sragen;111.0092;-7.4303;13.1200;39.5300;34.0100;97.1300;55.3200;66.5700;67.2200;12.6500;7.2200
;Grobogan;110.9507;-7.1542;12.3100;18.5400;31.8200;96.3800;61.5300;77.4300;67.4600;12.2800;6.6700
;Blora;111.3799;-7.0122;11.9000;28.0000;40.3100;95.5900;58.5600;58.9800;68.0900;12.1400;6.4600
;Rembang;111.4276;-6.8082;15.4100;27.7900;29.5300;98.0300;56.5400;91.5500;70.0900;12.0500;6.9500
;Pati;111.0460;-6.7450;9.9000;31.8500;33.7200;96.8000;55.3100;80.8500;68.6500;12.3000;7.1800
;Kudus;110.8791;-6.7726;6.9800;121.3600;13.8000;100.0000;51.3600;14.4600;70.8800;13.2100;8.6200
;Jepara;110.6787;-6.5827;7.0000;22.6200;26.5500;98.6200;59.8000;75.0000;68.0400;12.7100;7.4300
;Demak;110.6646;-6.9239;12.5400;21.2200;29.5200;96.0700;57.1400;68.5900;68.4700;12.8600;7.4800
;Semarang;110.4739;-7.1765;7.2900;44.4100;26.1100;100.0000;52.3200;32.9700;68.7300;12.8500;7.8800
;Temanggung;110.0892;-7.2749;9.8700;26.3900;34.9400;97.5500;55.9400;71.3200;68.2400;12.0800;6.9400
;Kendal;110.1879;-7.0265;9.8400;40.9300;35.8800;95.4500;55.6600;64.3700;68.7700;12.7000;7.0500
;Batang;109.9021;-7.0392;8.6900;26.5100;40.1200;95.9000;59.0200;80.9400;68.9500;11.8800;6.6200
;Pekalongan;109.6163;-7.0517;10.0600;23.8900;37.6700;98.1700;58.4500;96.5400;66.8800;12.1700;6.7400
;Pemalang;109.4259;-7.0599;16.0400;18.1900;35.4100;99.7200;63.7000;97.8800;66.0900;11.9100;6.3200
;Tegal;109.1048;-6.8588;7.9400;23.0200;34.7200;95.5700;58.7800;71.3400;66.2800;12.3400;6.7000
;Brebes;108.9027;-6.9592;17.1700;23.8600;41.2500;94.2300;58.8800;92.4700;66.9000;12.0200;6.1900
;Kota Magelang;110.2177;-7.4797;7.8700;67.2700;6.5200;98.6500;51.9600;0.0000;70.6700;13.8000;10.3100
;Kota Surakarta;110.8243;-7.5755;9.0800;85.7900;16.0700;98.5100;48.1500;0.0000;72.5100;14.5200;10.5300
;Kota Salatiga;110.5084;-7.3305;4.8400;64.2200;18.4000;100.0000;48.6300;0.0000;71.1800;15.0000;10.4000
;Kota Semarang;110.4381;-7.0051;4.1400;97.7800;25.6200;97.8500;46.4900;0.0000;72.3500;15.5000;10.5100
;Kota Pekalongan;109.6746;-6.8898;6.7500;33.2200;17.3500;100.0000;58.8400;0.0000;68.5600;12.7900;8.5700
;Kota Tegal;109.1256;-6.8797;7.8100;56.6600;23.7400;98.0000;49.9200;0.0000;69.9500;12.9000;8.3000
DI Yogyakarta;Kulon Progo;110.1641;-7.8267;18.3000;24.2400;25.8900;98.1000;56.7800;84.4600;65.5400;14.2400;8.6500
;Bantul;110.3785;-7.9190;13.4300;24.2800;25.1800;98.7400;49.8000;65.1700;68.5800;15.0300;9.3500
;Gunung Kidul;110.6169;-8.0305;17.1200;23.8200;38.3000;97.2600;57.9100;91.2200;65.5500;12.9500;7.0000
;Sleman;110.4024;-7.7325;7.6500;36.2900;36.8400;99.4400;49.4100;34.4000;70.7300;16.7100;10.6600
;Kota Yogyakarta;110.3695;-7.7956;6.9800;79.1100;14.9600;100.0000;45.8800;0.0000;73.8800;17.0500;11.4400
Jawa Timur;Pacitan;111.1414;-8.1263;14.1900;27.0800;20.7000;100.0000;60.0600;29.0000;67.1809;12.6100;7.1900
;Ponorogo;111.4696;-7.8651;10.3600;22.1200;26.9200;99.6700;56.7200;86.7400;68.3794;13.7100;7.1700
;Trenggalek;111.6184;-8.1824;12.0200;25.0300;27.5400;97.6200;58.8100;59.2700;68.8483;12.1200;7.2700
;Tulungagung;111.9642;-8.0912;7.2700;35.3700;17.8900;97.6800;55.5900;68.9900;67.6864;13.0500;8.0600
;Blitar;112.1609;-8.0955;9.7200;29.5500;44.1500;89.5900;55.5300;63.3500;67.0990;12.4400;7.2700
;Kediri;112.1907;-7.8232;11.3100;24.6900;28.1500;95.1500;58.8300;75.1600;68.0363;12.8700;7.6800
;Malang;112.7152;-8.2422;10.3700;37.4300;36.7600;96.8700;56.6400;19.6300;68.6433;12.8700;7.1800
;Lumajang;113.1442;-8.0944;9.9800;29.5900;30.8500;93.1000;61.4800;42.3200;69.7605;11.7900;6.2100
;Jember;113.6681;-8.1845;9.9800;29.6300;44.9800;91.2800;62.4100;55.3400;68.7647;13.2100;6.0700
;Banyuwangi;114.3691;-8.2191;7.8000;48.4800;42.8100;92.6400;57.3500;62.2600;68.4030;12.6900;7.1200
;Bondowoso;113.9061;-7.9674;14.3900;23.9900;49.4700;90.7000;62.6500;92.3300;69.6113;12.9500;5.6200
;Situbondo;114.1915;-7.7889;11.8200;27.8400;51.5800;91.2600;63.4500;86.5500;71.6901;13.0100;6.1100
;Probolinggo;113.4776;-7.8718;18.7100;27.5800;44.8000;91.5000;63.3800;68.1400;69.4870;12.0700;5.7100
;Pasuruan;112.8582;-7.7860;9.4500;84.1100;44.4700;93.0500;61.8300;72.1200;71.0147;12.3000;6.8300
;Sidoarjo;112.6675;-7.4726;5.6900;85.3900;14.5400;98.2700;50.6900;39.4100;71.5355;14.7500;10.2400
;Mojokerto;112.4351;-7.4699;10.0800;69.2400;19.5400;100.0000;56.6100;75.6600;70.2793;12.5300;8.1800
;Jombang;112.2861;-7.5741;9.5600;30.2600;32.5600;98.5100;58.1500;67.4700;68.4757;12.9900;8.2100
;Nganjuk;111.9046;-7.5944;12.1100;23.6500;27.1400;98.2500;62.2700;90.4800;68.2750;12.8400;7.6100
;Madiun;111.6184;-7.6093;11.4200;25.9500;27.9900;97.5900;59.2300;67.0600;68.3417;13.1300;7.5700
;Magetan;111.3560;-7.6433;10.3100;28.1000;22.4300;100.0000;57.6600;46.4900;67.6307;13.7300;7.9500
;Ngawi;111.3322;-7.4610;14.8300;23.1800;39.0100;96.3200;58.9400;70.3600;69.0807;12.6800;6.8800
;Bojonegoro;111.7615;-7.3175;13.1600;59.2600;35.7200;92.7600;59.9600;71.3100;69.8589;12.3500;6.7700
;Tuban;112.0298;-6.8955;15.3100;52.0800;35.4900;94.6400;59.4100;90.9800;70.4884;12.1900;6.5200
;Lamongan;112.3338;-7.1269;13.8000;31.4000;24.5600;99.0500;55.9800;85.1500;69.7235;13.4600;7.8300
;Gresik;112.5722;-7.1550;11.8900;100.5400;17.4600;100.0000;55.1900;56.1800;70.2331;13.7100;8.9600
;Bangkalan;112.9137;-7.0384;19.5900;24.4000;37.8400;88.5700;66.2200;67.7500;65.6236;11.5800;5.3300
;Sampang;113.2394;-7.0402;21.2100;19.8500;50.5900;88.9400;69.8200;67.8900;66.5778;11.7600;4.3600
;Pamekasan;113.5252;-7.1051;14.4700;18.3000;28.1500;95.3600;63.5200;69.9600;69.4127;13.6200;6.3500
;Sumenep;113.9061;-6.9254;20.1600;30.1700;49.1700;85.9000;64.0500;78.7100;71.6376;13.0700;5.2300
;Kota Kediri;112.0178;-7.8480;7.6800;449.2300;15.0100;97.2800;54.5400;0.0000;71.5686;14.9600;9.9100
;Kota Blitar;112.1609;-8.0955;7.4400;44.8300;15.6000;98.9400;52.4600;11.5600;69.1383;14.0200;9.9000
;Kota Malang;112.6326;-7.9666;4.1000;78.4400;28.1800;100.0000;45.9100;9.2500;73.1669;15.4000;10.1600
;Kota Probolinggo;113.2037;-7.7764;7.2000;44.8200;32.6300;96.2700;46.9200;0.0000;69.6906;13.5600;8.4900
;Kota Pasuruan;112.8999;-7.6469;6.7700;38.8200;20.1300;99.2300;59.4800;0.0000;69.7566;13.5900;9.1000
;Kota Mojokerto;112.4401;-7.4705;5.5000;49.5300;19.2200;99.1900;52.2600;9.3700;70.6670;13.8200;9.9900
;Kota Madiun;111.5300;-7.6311;4.4900;74.6500;9.6500;100.0000;50.2500;18.8000;70.4862;14.2100;11.1100
;Kota Surabaya;112.7521;-7.2575;4.8800;188.7300;28.1700;97.7800;49.5700;7.3600;73.5071;14.7800;10.4600
;Kota Batu;112.5334;-7.8831;3.8900;76.7800;38.6300;97.8800;51.9300;0.0000;69.6503;14.0400;8.7700
Banten;Pandeglang;105.6882;-6.7483;9.6100;21.6900;25.7100;99.0800;64.4100;94.3300;63.4000;13.4200;6.7200
;Lebak;106.2522;-6.5644;8.4100;20.6600;35.5900;95.5400;66.2200;58.9600;64.7000;11.9300;6.2100
;Tangerang;106.4877;-6.1872;5.1800;35.2500;26.3500;100.0000;56.6900;59.4100;68.9200;12.8000;8.2700
;Serang;106.0405;-6.1397;4.3000;47.7100;29.5400;99.0300;63.2800;51.4200;66.2900;12.3900;7.1800
;Kota Tangerang;106.6527;-6.2024;4.7600;75.0200;18.7900;95.6300;51.1600;3.4300;72.5100;13.8300;10.5100
;Kota Cilegon;106.0111;-6.0025;3.2500;223.9500;25.0600;100.0000;53.1300;1.9100;69.4100;13.1300;9.7300
;Kota Serang;106.1640;-6.1104;5.3600;42.9500;22.4800;97.1300;60.5900;0.0000;66.5900;12.6500;8.6200
;Kota Tangerang Selatan;106.7113;-6.2835;1.6800;44.3500;34.2000;95.0500;45.2900;0.0000;72.1600;14.4200;11.7800
